case_index,case_id,depth,truth_valid,first_nonfinite_time,one_grid_displacement_onset_time,final_displacement_grid_points,max_abs_displacement_grid_points,final_eta_raw_relative_error,final_eta_aligned_relative_error,final_eta_translation_relative_error,final_eta_signed_squared_error_removed,final_q_raw_relative_error,final_q_aligned_relative_error,final_q_translation_relative_error,final_q_signed_squared_error_removed,final_xi_raw_relative_error,final_xi_aligned_relative_error,final_xi_translation_relative_error,final_xi_signed_squared_error_removed,alignment_velocity_correlation_n,alignment_velocity_pearson,alignment_velocity_spearman,final_observed_displacement_drift,final_integrated_identity_velocity,final_integrated_direct_velocity,final_integrated_geometry_velocity,final_velocity_integration_residual,final_velocity_integration_residual_grid_points,max_abs_alignment_stationarity_correction_grid_points,min_abs_velocity_denominator_over_tangent_energy,eta_raw_gt_0p25_onset_time,eta_shape_gt_0p25_onset_time,eta_translation_gt_0p25_onset_time,eta_raw_gt_0p25_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p25,eta_raw_gt_0p5_onset_time,eta_shape_gt_0p5_onset_time,eta_translation_gt_0p5_onset_time,eta_raw_gt_0p5_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p5,eta_raw_gt_0p75_onset_time,eta_shape_gt_0p75_onset_time,eta_translation_gt_0p75_onset_time,eta_raw_gt_0p75_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_0p75,eta_raw_gt_1_onset_time,eta_shape_gt_1_onset_time,eta_translation_gt_1_onset_time,eta_raw_gt_1_translation_dominated_at_onset,one_grid_lead_to_eta_raw_gt_1
0,1000000,0.13727504014968872,True,,,0.1523751927490173,0.27166358389068385,0.004178230507981185,0.0037405633420719495,0.0018616648629042332,0.19852637482847554,0.010449611363502307,0.011016376957581632,0.0,-0.11141767447488592,0.01152258773059693,0.012273376432394064,0.0,-0.1345615521049026,251,0.8765536368804228,0.7606344147220641,0.0009349624729094561,-0.0005447968018008985,-0.02247064773477877,0.02192585093297788,-0.0014797592747103545,-0.24116326723198034,4.1258470043717556e-08,0.995893003195779,,,,,,,,,,,,,,,,,,,,
1,1000001,0.01463289000093937,True,,160.8000030517578,1.5322149815585606,1.5322149815585606,0.2200132598761981,0.18004647229349321,0.12644802227010063,0.330313535426544,0.42427690563763826,0.33166835630325286,0.264588348353717,0.3889042104677924,0.04266059990924055,0.034227968034081686,0.02546316926217506,0.3562632268258401,251,0.9972722913024793,0.9973985960918231,0.009401553378485536,0.009394425940149002,0.11608471510984428,-0.10669028916969549,-7.1274383365346056e-06,-0.00116159185187037,4.396453660683316e-08,0.9688735414286014,,,,,,,,,,,,,,,,,,,,
2,1000002,0.019024807959794998,True,,,-0.55781326336558,0.55781326336558,0.06528799317209055,0.006781708134873863,0.0649348172185949,0.9892102457979545,0.1263349073460374,0.011977135425486552,0.1257658818644047,0.9910120802117894,0.012914530105166683,0.003837877266720752,0.012331090216312774,0.9116869373310861,251,0.9841595992393017,0.9868032631379244,-0.0034226993169223724,-0.0034599234758832817,-0.1748167295109166,0.17135680603503334,-3.7224158960909304e-05,-0.006066594714692799,5.307925716611191e-09,0.9988304845648223,,,,,,,,,,,,,,,,,,,,
3,1000003,0.01722952537238598,True,,,-0.4813041381261062,0.49957261107323475,0.07031891813931197,0.04673450844660097,0.05254175452473815,0.5582963405474911,0.14222118871250927,0.08315693035082701,0.11537673705486251,0.6581242547408264,0.023002800273264793,0.01989868510078886,0.011539980574999005,0.25168001918272936,251,-0.10549493588171692,-0.08750901157275659,-0.002953245204061215,-0.00253454109401943,0.0728782472168941,-0.07541278831091354,0.00041870411004178536,0.06823816069738807,1.0935972096285632e-08,0.9622674214492419,,,,,,,,,,,,,,,,,,,,
4,1000004,0.043458059430122375,True,,,0.645024743422061,0.645024743422061,0.032836605041557027,0.002735126930373299,0.0327224954936196,0.9930619332675547,0.06410550413806958,0.003040553089432278,0.0640333561333966,0.9977503521454241,0.010870788862222727,0.004610829490477997,0.00984450617841058,0.8200979952650799,251,0.9960196045598002,0.99504458357048,0.003957822256481227,0.003962869777396899,0.08585157469791373,-0.08188870492051677,5.047520915672787e-06,0.0008226180137871912,1.0174841223417386e-08,0.9973224329516112,,,,,,,,,,,,,,,,,,,,
5,1000005,0.05509520322084427,True,,188.8000030517578,-1.1680607593814345,1.1680607593814345,0.05331204713601068,0.003472304200445033,0.05319884842148181,0.9957578618017233,0.10517855112305746,0.005966920028011789,0.10500915903731886,0.9967815551874347,0.01762682407393151,0.004013761506021849,0.017163759655335092,0.9481492566396297,251,0.9894797302822677,0.9838330487573516,-0.007167131055896933,-0.007161772064572169,-0.18148445888707393,0.174322686822502,5.3589913247640425e-06,0.0008733797983465288,9.524086230159871e-09,0.9936773925474068,,,,,,,,,,,,,,,,,,,,
6,1000006,0.29276910424232483,True,,64.0,-2.319711939281874,2.385358429442914,0.019720316490329636,0.0042439693107174685,0.019258234783293488,0.9536855289702115,0.04102335509413645,0.014337589991008535,0.03843630024377142,0.8778509872788979,0.016200435491400544,0.0027746789896586437,0.01596105468367856,0.9706659442582318,251,0.6353123351535308,0.6250942895086321,-0.01423357419314935,-0.013356616852597458,0.4846461081072158,-0.4980027249598133,0.0008769573405518916,0.14292182592466554,6.193494537395921e-08,0.9824008644605052,,,,,,,,,,,,,,,,,,,,
7,1000007,0.028350599110126495,True,,,0.16545159935388812,0.16545159935388812,0.00966112383680109,0.004367361186296948,0.008617625546427109,0.7956461038241777,0.02039663468748629,0.009115769343083025,0.018246244979679423,0.8002578960161689,0.0077961147305801275,0.007914792154985669,0.0,-0.030677002638575274,251,0.1347932662724109,0.18506014039081767,0.0010151982989352669,0.0011614100310305116,0.11381419306732858,-0.11265278303629798,0.0001462117320952447,0.023828807578609786,6.868266974026424e-09,0.99964265396915,,,,,,,,,,,,,,,,,,,,
8,1000008,0.030291857197880745,True,,147.1999969482422,1.9451263559044778,2.134948830439205,0.1335431291349152,0.04891471880549803,0.12426229365066335,0.8658359913348683,0.2757998265806832,0.07098970924091566,0.26650704591778657,0.9337474166298518,0.03672875550117776,0.02248889445700379,0.029038786248172282,0.6250927955625135,251,-0.737679864786585,-0.2227395181180042,0.011935145839869907,-0.03202796519074409,0.1734250154549693,-0.20545298064571343,-0.043963111030614,-7.164873148641328,2.2516952448051362e-08,0.95249531865028,,,,,,,,,,,,,,,,,,,,
9,1000009,0.05955096334218979,True,,,0.6285601094797241,0.6285601094797241,0.019842210672834128,0.001986197369992723,0.019742551618080334,0.9899800698929178,0.037821616588129166,0.0014861660219616813,0.037792406537485994,0.9984559744582371,0.00829633967988425,0.002993323172902324,0.00773752340652924,0.8698230280564966,251,0.8983129435036301,0.8896270157465377,0.0038567965278927677,0.003860612952010006,-0.031080195215370206,0.034940808167380204,3.816424117238093e-06,0.0006219804295102112,1.4496599231467855e-08,0.9998349666018559,,,,,,,,,,,,,,,,,,,,
