Nx,M,ichoi,run_dir,mean_rel_l2,mean_rel_l1,min_rel_l2,max_rel_l2,min_rel_l1,max_rel_l1,n_test
1024,4,0,fno_Nx1024_M4_ichoi0_p5293121_ep350_gridfno_20260225_112813,0.0007720243302173913,0.000750576495192945,3.8709920772816986e-05,0.007620649877935648,3.661221489892341e-05,0.007823499850928783,1999
1024,4,1,fno_Nx1024_M4_ichoi1_p5293121_ep350_gridfno_20260225_112813,0.0015728872967883945,0.0015390421031042933,8.4826308011543e-05,0.015566983260214329,7.547422865172848e-05,0.015711549669504166,1999
1024,5,0,fno_Nx1024_M5_ichoi0_p5293121_ep350_gridfno_20260225_112813,0.0014827863778918982,0.0014141444116830826,7.448972610291094e-05,0.011643124744296074,7.330632797675207e-05,0.01052115485072136,1999
1024,5,1,fno_Nx1024_M5_ichoi1_p5293121_ep350_gridfno_20260225_112813,0.0010296364780515432,0.0009918201249092817,3.748112067114562e-05,0.013049643486738205,3.449565338087268e-05,0.012748426757752895,1999
1024,6,0,fno_Nx1024_M6_ichoi0_p5293121_ep350_gridfno_20260225_112813,0.0006990047986619174,0.0006704555707983673,5.88795701332856e-05,0.004661257844418287,5.24541137565393e-05,0.004582616034895182,1999
1024,6,1,fno_Nx1024_M6_ichoi1_p5293121_ep350_gridfno_20260225_112813,0.0012490070657804608,0.0012102273758500814,6.152327114250511e-05,0.017675286158919334,5.464266359922476e-05,0.017162783071398735,1999
1024,7,0,fno_Nx1024_M7_ichoi0_p5293121_ep350_gridfno_20260225_112813,0.0009374315268360078,0.0009021721198223531,3.415927494643256e-05,0.007973846048116684,3.109982571913861e-05,0.007893652655184269,1999
1024,7,1,fno_Nx1024_M7_ichoi1_p5293121_ep350_gridfno_20260225_112813,0.0008443447877652943,0.0008150869398377836,0.00014079171523917466,0.005106757394969463,0.00012597159366123378,0.0050230734050273895,1999
1024,8,0,fno_Nx1024_M8_ichoi0_p5293121_ep350_gridfno_20260225_112813,0.00825078971683979,0.007955237291753292,0.00028341906727291644,0.04951769858598709,0.0002717119932640344,0.046919070184230804,1999
1024,8,1,fno_Nx1024_M8_ichoi1_p5293121_ep350_gridfno_20260225_112813,0.018855653703212738,0.018496742472052574,0.0003642663068603724,0.09203135967254639,0.0003404949966352433,0.09082086384296417,1999
